ResourceID,geom,SITEID,SITENAME,ADDRESS,DESTROYED,SURVEYNUM,ARCHITECT,YEARBUILT,STYLE,EXTPLAN,SURVEVAL,SURVDIST,SHPOEVAL,D_NRLISTED,PLOTMTHD,OWNERSHIP,EXTFABRIC,STRUCSYS,STRUCUSE
1ed61a56-fb8d-40e2-852c-840f69d6e453,POINT (-82.1601151369999 29.4815562840001),AL00479A,MARJORIE KINNAN RAWLINGS HOUSE,,NO,,,1890-01-01,Frame Vernacular,,Eligible for NRHP,Not Evaluated by Recorder,Not Evaluated by SHPO,1970-09-29,D,State,"Board and batten;Weatherboard, Clapboard",Lapped log,"Private residence;School, University, College"
111e33d1-952d-4ae2-932c-dbcbd641f8bb,POINT (-82.2557166939999 29.607937135),AL00533,PZ-2 HOUSE,ONE MI NW OFF U.S. 441,NO,,,,,,Not Evaluated by Recorder,Not Evaluated by Recorder,Not Evaluated by SHPO,,D,,,,Abandoned or vacant
ed2178d9-6000-4cec-bac1-5fe69c3632d4,POINT (-82.539685377 29.658314853),AL02328A,DUDLEY FARM - MAIN HOUSE,18502 W Newberry RD,NO,19573,,1882-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,Private-individual,Board and batten;Drop siding;Asbestos shingles or siding,Wood frame,Farm;Museum/art gallery/planetarium;Park
4cc1f46b-2ac9-4c19-bc6d-379f2e0c658d,POINT (-82.539611377 29.658189485),AL02328B,DUDLEY FARM - STONE HOUSE,18502 W Newberry RD,NO,19573,,1920-01-01,Masonry vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Stone,Masonry,Warehouse;Farm;Museum/art gallery/planetarium
dadf7c29-35c3-4681-91dd-8ba845820a2f,POINT (-82.539726457 29.65848915),AL02328C,DUDLEY FARM - KITCHEN,18502 W Newberry RD,NO,19573,,1882-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Farm;Kitchen;Museum/art gallery/planetarium
4c767681-e1ee-437c-90b1-770defc4de21,POINT (-82.539638043 29.6587236230001),AL02328D,DUDLEY FARM - OUTHOUSE,18502 W Newberry RD,NO,19573,,1900-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Wood siding,Wood frame,Farm;Museum/art gallery/planetarium;Outhouse
6209c083-5f6a-4076-81b1-d54950a4beb7,POINT (-82.539737577 29.6586425880001),AL02328E,DUDLEY FARM - SMOKEHOUSE,18502 W Newberry RD,NO,19573,,1882-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Farm;Museum/art gallery/planetarium;Park
bb2c2e0f-8252-4612-a34f-60ea20081aaf,POINT (-82.540292929 29.657916889),AL02328F,DUDLEY FARM - TOBACCO BARN,18502 W Newberry RD,NO,19573,,1930-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Barn;Farm;Museum/art gallery/planetarium
f0e7d8ff-d47c-4297-a118-13377d445640,POINT (-82.540015844 29.658860916),AL02328G,DUDLEY FARM - CORN CRIB,18502 W Newberry RD,NO,19573,,1905-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Agricultural;Farm;Museum/art gallery/planetarium
668410b2-af5c-41b1-945f-1d84beb522a0,POINT (-82.540211146 29.6591978770001),AL02328H,DUDLEY FARM - HAY BARN,18502 W Newberry RD,NO,19573,,1924-01-01,Frame Vernacular,Rectangular,Ineligible for NRHP,Potential contributor to NR district,Not Evaluated by SHPO,,D,State,Board and batten,Wood frame,Barn;Farm;Museum/art gallery/planetarium
